"platform_type","user_id","session_id","user_time","country","version","event_name","param_1","param_2","extra_1","extra_2","level"
iOS,1001213,i1001213CA2,"09.02.2023 5:50:02",CA,1.01,res_movement_inc,500,1550,gold,chest,6
iOS,1001213,i1001213CA2,"09.02.2023 5:50:02",CA,1.01,res_movement_inc,10,15,token,chest,6
iOS,1001213,i1001213CA2,"09.02.2023 5:50:19",CA,1.01,res_movement_outc,2,13,token,stage_start,6
iOS,1001213,i1001213CA2,"09.02.2023 5:50:19",CA,1.01,stage_start,1,2,silver_loc,"",6
iOS,1001213,i1001213CA2,"09.02.2023 5:51:18",CA,1.01,stage_win,1,2,silver_loc,"",6
iOS,1001213,i1001213CA2,"09.02.2023 5:51:18",CA,1.01,lvl_up,7,0,"","",7
iOS,1001213,i1001213CA2,"09.02.2023 5:51:18",CA,1.01,res_movement_inc,300,1850,gold,stage_win,7
iOS,1001213,i1001213CA2,"09.02.2023 5:51:42",CA,1.01,res_movement_outc,2,11,token,stage_start,7
iOS,1001213,i1001213CA2,"09.02.2023 5:51:42",CA,1.01,stage_start,2,2,silver_loc,"",7
iOS,1001213,i1001213CA2,"09.02.2023 5:52:53",CA,1.01,stage_win,2,2,silver_loc,"",7
iOS,1001213,i1001213CA2,"09.02.2023 5:52:53",CA,1.01,lvl_up,8,0,"","",8
iOS,1001213,i1001213CA2,"09.02.2023 5:52:53",CA,1.01,res_movement_inc,300,2150,gold,stage_win,8
iOS,1001213,i1001213CA2,"09.02.2023 5:53:13",CA,1.01,res_movement_outc,2,9,token,stage_start,8
iOS,1001213,i1001213CA2,"09.02.2023 5:53:13",CA,1.01,stage_start,3,2,silver_loc,"",8
iOS,1001213,i1001213CA2,"09.02.2023 5:54:37",CA,1.01,stage_win,3,2,silver_loc,"",8
iOS,1001213,i1001213CA2,"09.02.2023 5:54:37",CA,1.01,lvl_up,9,0,"","",9
iOS,1001213,i1001213CA2,"09.02.2023 5:54:37",CA,1.01,res_movement_inc,300,2450,gold,stage_win,9
iOS,1001213,i1001213CA2,"09.02.2023 5:55:02",CA,1.01,res_movement_outc,2,7,token,stage_start,9
iOS,1001213,i1001213CA2,"09.02.2023 5:55:02",CA,1.01,stage_start,4,2,silver_loc,"",9
iOS,1001213,i1001213CA2,"09.02.2023 5:55:58",CA,1.01,stage_win,4,2,silver_loc,"",9
iOS,1001213,i1001213CA2,"09.02.2023 5:55:58",CA,1.01,lvl_up,10,0,"","",10
iOS,1001213,i1001213CA2,"09.02.2023 5:55:58",CA,1.01,res_movement_inc,300,2750,gold,stage_win,10
iOS,1001213,i1001213CA2,"09.02.2023 5:56:24",CA,1.01,res_movement_outc,2,5,token,stage_start,10
iOS,1001213,i1001213CA2,"09.02.2023 5:56:24",CA,1.01,stage_start,5,2,silver_loc,"",10
iOS,1001213,i1001213CA2,"09.02.2023 5:57:46",CA,1.01,stage_lesion,5,2,silver_loc,"",10
iOS,1001213,i1001213CA2,"09.02.2023 5:57:46",CA,1.01,res_movement_inc,300,3050,gold,stage_lesion,10
android,1001215,a1001215DE1,"08.02.2023 6:58:20",DE,1.01,app_install_start,0,0,organic,"",0
android,1001215,a1001215DE1,"08.02.2023 6:58:20",DE,1.01,performance,56,0,samsung,galaxy a53,0
android,1001215,a1001215DE1,"08.02.2023 6:59:49",DE,1.01,app_install_finish,89,0,"","",0
android,1001215,a1001215DE1,"08.02.2023 7:00:06",DE,1.01,loading_finish,17,0,"","",0
android,1001215,a1001215DE1,"08.02.2023 7:00:06",DE,1.01,tutorial_step_start,1,0,"","",0
android,1001215,a1001215DE1,"08.02.2023 7:00:09",DE,1.01,tutorial_step_finish,1,0,"","",0
android,1001215,a1001215DE1,"08.02.2023 7:00:09",DE,1.01,tutorial_step_start,2,0,"","",0
android,1001215,a1001215DE1,"08.02.2023 7:00:14",DE,1.01,tutorial_step_finish,2,0,"","",0
android,1001215,a1001215DE1,"08.02.2023 7:00:14",DE,1.01,tutorial_step_start,3,0,"","",0
android,1001215,a1001215DE1,"08.02.2023 7:00:18",DE,1.01,tutorial_step_finish,3,0,"","",0
android,1001215,a1001215DE1,"08.02.2023 7:00:18",DE,1.01,tutorial_step_start,4,0,"","",0
android,1001215,a1001215DE1,"08.02.2023 7:00:27",DE,1.01,tutorial_step_finish,4,0,"","",0
android,1001215,a1001215DE1,"08.02.2023 7:00:27",DE,1.01,tutorial_step_start,5,0,"","",0
android,1001215,a1001215DE1,"08.02.2023 7:00:37",DE,1.01,tutorial_step_finish,5,0,"","",0
android,1001215,a1001215DE1,"08.02.2023 7:00:37",DE,1.01,tutorial_step_start,6,0,"","",0
android,1001215,a1001215DE1,"08.02.2023 7:00:43",DE,1.01,tutorial_step_finish,6,0,"","",0
android,1001215,a1001215DE1,"08.02.2023 7:00:43",DE,1.01,tutorial_step_start,7,0,"","",0
android,1001215,a1001215DE1,"08.02.2023 7:00:51",DE,1.01,tutorial_step_finish,7,0,"","",0
android,1001215,a1001215DE1,"08.02.2023 7:00:51",DE,1.01,lvl_up,1,0,"","",1
android,1001215,a1001215DE1,"08.02.2023 7:00:51",DE,1.01,res_movement_inc,50,50,gold,tutor,1
android,1001215,a1001215DE1,"08.02.2023 7:01:01",DE,1.01,chest_open,0,0,"","",1
android,1001215,a1001215DE1,"08.02.2023 7:01:01",DE,1.01,res_movement_inc,500,550,gold,chest,1
android,1001215,a1001215DE1,"08.02.2023 7:01:01",DE,1.01,res_movement_inc,10,10,token,chest,1
android,1001215,a1001215DE1,"08.02.2023 7:01:13",DE,1.01,res_movement_outc,1,9,token,stage_start,1
android,1001215,a1001215DE1,"08.02.2023 7:01:13",DE,1.01,stage_start,1,1,bronze_loc,"",1
android,1001215,a1001215DE1,"08.02.2023 7:01:43",DE,1.01,stage_win,1,1,bronze_loc,"",1
android,1001215,a1001215DE1,"08.02.2023 7:01:43",DE,1.01,lvl_up,2,0,"","",2
android,1001215,a1001215DE1,"08.02.2023 7:01:43",DE,1.01,res_movement_inc,100,650,gold,stage_win,2
iOS,1001220,i1001220KZ1,"08.02.2023 7:58:21",KZ,1.01,app_install_start,1,0,paid,"",0
